word,frequency,percentage
left,378,0.03603771947972211
flour,378,0.03603771947972211
city,376,0.03584704371527914
test,375,0.03575170583305765
sale,374,0.03565636795083616
prosecutor,374,0.03565636795083616
award,374,0.03565636795083616
thereof,371,0.035370354304171694
custody,370,0.03527501642195021
adopted,370,0.03527501642195021
fund,370,0.03527501642195021
applicant,367,0.03498900277528575
mir,366,0.034893664893064266
holding,366,0.034893664893064266
dispute,366,0.034893664893064266
concept,366,0.034893664893064266
violation,366,0.034893664893064266
rank,366,0.034893664893064266
sufficient,365,0.034798327010842775
departmental,365,0.034798327010842775
fine,364,0.03470298912862129
jan,363,0.0346076512463998
islam,363,0.0346076512463998
development,363,0.0346076512463998
acquitted,362,0.034512313364178315
admittedly,361,0.03441697548195683
relating,361,0.03441697548195683
class,361,0.03441697548195683
give,361,0.03441697548195683
acquisition,361,0.03441697548195683
request,361,0.03441697548195683
hunza,361,0.03441697548195683
collector,360,0.03432163759973534
received,360,0.03432163759973534
laid,360,0.03432163759973534
ka,358,0.03413096183529237
iii,356,0.033940286070849396
caused,356,0.033940286070849396
come,355,0.03384494818862791
.....,354,0.03374961030640642
brought,353,0.033654272424184936
done,353,0.033654272424184936
concurrent,350,0.03336825877752047
victim,350,0.03336825877752047
brother,348,0.033177583013077494
decided,348,0.033177583013077494
establishment,347,0.03308224513085601
completion,346,0.03298690724863452
role,344,0.03279623148419155
finally,344,0.03279623148419155
salary,344,0.03279623148419155
muslim,343,0.03270089360197006
bs-,343,0.03270089360197006
pistol,342,0.032605555719748575
common,341,0.03251021783752709
incident,341,0.03251021783752709
absence,340,0.0324148799553056
filing,339,0.032319542073084115
applicable,339,0.032319542073084115
founded,338,0.03222420419086263
get,337,0.03212886630864114
today,337,0.03212886630864114
alias,336,0.032033528426419655
situation,335,0.031938190544198164
amendment,335,0.031938190544198164
administration,332,0.031652176897533704
nawaz,332,0.031652176897533704
six,332,0.031652176897533704
side,331,0.03155683901531222
bibi,331,0.03155683901531222
five,330,0.03146150113309073
college,330,0.03146150113309073
therein,329,0.031366163250869245
claimed,328,0.03127082536864775
mean,328,0.03127082536864775
complete,328,0.03127082536864775
control,328,0.03127082536864775
provide,327,0.031175487486426273
remedy,326,0.03108014960420478
personal,325,0.030984811721983294
called,324,0.03088947383976181
pc,323,0.030794135957540318
tax,322,0.030698798075318834
punjab,322,0.030698798075318834
deputation,322,0.030698798075318834
written,321,0.030603460193097343
subsequently,321,0.030603460193097343
-terrorism,321,0.030603460193097343
mind,319,0.030412784428654374
terrorism,319,0.030412784428654374
holy,318,0.030317446546432883
attorney,317,0.0302221086642114
guilty,317,0.0302221086642114
village,317,0.0302221086642114
revenue,316,0.030126770781989914
barred,315,0.030031432899768423
scheme,315,0.030031432899768423
framed,315,0.030031432899768423
contempt,315,0.030031432899768423
observation,315,0.030031432899768423
pleased,315,0.030031432899768423
despite,312,0.02974541925310396
whole,312,0.02974541925310396
like,312,0.02974541925310396
extended,312,0.02974541925310396
challenged,312,0.02974541925310396
c.,311,0.029650081370882476
final,310,0.02955474348866099
representative,310,0.02955474348866099
consequence,309,0.0294594056064395
appropriate,309,0.0294594056064395
disputed,309,0.0294594056064395
appearing,309,0.0294594056064395
graciously,309,0.0294594056064395
prays,309,0.0294594056064395
dig,309,0.0294594056064395
upheld,308,0.029364067724218016
accountability,308,0.029364067724218016
higher,307,0.029268729841996532
president,307,0.029268729841996532
territory,307,0.029268729841996532
able,306,0.02917339195977504
pending,306,0.02917339195977504
meet,306,0.02917339195977504
pre,306,0.02917339195977504
settled,304,0.028982716195332065
society,304,0.028982716195332065
titled,304,0.028982716195332065
haji,304,0.028982716195332065
arrested,304,0.028982716195332065
arm,304,0.028982716195332065
dsp,304,0.028982716195332065
way,303,0.028887378313110577
approval,303,0.028887378313110577
injured,303,0.028887378313110577
clear,302,0.028792040430889093
passing,302,0.028792040430889093
-accused,302,0.028792040430889093
hospital,302,0.028792040430889093
proclaimed,302,0.028792040430889093
wheat,302,0.028792040430889093
comdt,302,0.028792040430889093
challan,301,0.028696702548667602
giving,300,0.028601364666446118
vacant,299,0.028506026784224633
august,299,0.028506026784224633
appear,298,0.028410688902003142
apex,298,0.028410688902003142
use,297,0.028315351019781658
lawful,297,0.028315351019781658
citizen,297,0.028315351019781658
mandatory,297,0.028315351019781658
real,296,0.028220013137560174
form,296,0.028220013137560174
bridge,296,0.028220013137560174
enforcement,296,0.028220013137560174
second,295,0.028124675255338683
full,295,0.028124675255338683
driver,294,0.028029337373117198
inspector,294,0.028029337373117198
briefly,294,0.028029337373117198
nagar,294,0.028029337373117198
family,293,0.02793399949089571
seniority,293,0.02793399949089571
confessional,291,0.027743323726452735
making,290,0.027647985844231244
compliance,290,0.027647985844231244
site,289,0.02755264796200976
error,289,0.02755264796200976
pursuance,288,0.027457310079788275
procurement,288,0.027457310079788275
new,288,0.027457310079788275
forum,288,0.027457310079788275
pointed,288,0.027457310079788275
ip,288,0.027457310079788275
daughter,287,0.027361972197566784
fall,287,0.027361972197566784
decide,287,0.027361972197566784
er,287,0.027361972197566784
remained,286,0.0272666343153453
pws,286,0.0272666343153453
association,286,0.0272666343153453
prior,286,0.0272666343153453
allowance,286,0.0272666343153453
alam,285,0.027171296433123816
assistance,285,0.027171296433123816
treated,284,0.027075958550902324
hereby,283,0.02698062066868084
cpc,282,0.026885282786459352
far,282,0.026885282786459352
along,281,0.02678994490423786
approved,280,0.026694607022016377
earlier,280,0.026694607022016377
various,279,0.026599269139794893
extent,279,0.026599269139794893
appeared,278,0.0265039312575734
allah,277,0.026408593375351917
fell,277,0.026408593375351917
stand,276,0.026313255493130426
declaration,275,0.026217917610908942
recommendation,274,0.026122579728687458
chilas,273,0.026027241846465966
prayed,271,0.025836566082022994
zafar,271,0.025836566082022994
allegation,271,0.025836566082022994
certificate,271,0.025836566082022994
equal,271,0.025836566082022994
adoption,271,0.025836566082022994
sentenced,270,0.025741228199801507
ssp,270,0.025741228199801507
certain,269,0.02564589031758002
fair,269,0.02564589031758002
convert,269,0.02564589031758002
candidate,269,0.02564589031758002
similarly,268,0.025550552435358535
punishment,267,0.025455214553137043
tenable,267,0.025455214553137043
maintainable,267,0.025455214553137043
age,266,0.02535987667091556
meeting,266,0.02535987667091556
rent,266,0.02535987667091556
warranted,266,0.02535987667091556
requirement,265,0.025264538788694075
progress,265,0.025264538788694075
organization,265,0.025264538788694075
main,264,0.025169200906472584
investigating,264,0.025169200906472584
individual,263,0.0250738630242511
source,263,0.0250738630242511
feeling,262,0.024978525142029608
jail,262,0.024978525142029608
assembly,261,0.024883187259808124
prov,261,0.024883187259808124
charged,260,0.024787849377586636
joo,260,0.024787849377586636
recording,259,0.024692511495365145
nazar,259,0.024692511495365145
protection,259,0.024692511495365145
bearing,258,0.02459717361314366
specific,258,0.02459717361314366
registration,258,0.02459717361314366
baig,258,0.02459717361314366
completed,257,0.024501835730922177
rupee,257,0.024501835730922177
execution,256,0.02440649784870069
preferred,256,0.02440649784870069
prophet,256,0.02440649784870069
came,255,0.0243111599664792
limited,255,0.0243111599664792
need,255,0.0243111599664792
undergo,255,0.0243111599664792
last,255,0.0243111599664792
royalty,255,0.0243111599664792
thereafter,254,0.024215822084257713
call,254,0.024215822084257713
produce,253,0.024120484202036226
provides,253,0.024120484202036226
injunction,252,0.02402514631981474
importance,252,0.02402514631981474
oath,252,0.02402514631981474
prescribed,252,0.02402514631981474
went,251,0.023929808437593254
plan,251,0.023929808437593254
.the,251,0.023929808437593254
budget,251,0.023929808437593254
relation,250,0.023834470555371766
akhtar,250,0.023834470555371766
key,250,0.023834470555371766
federation,249,0.023739132673150278
determination,249,0.023739132673150278
shown,249,0.023739132673150278
version,249,0.023739132673150278
opportunity,248,0.02364379479092879
keeping,247,0.023548456908707303
wazir,247,0.023548456908707303
staff,246,0.023453119026485815
ministry,245,0.02335778114426433
closed,245,0.02335778114426433
informed,245,0.02335778114426433
motive,245,0.02335778114426433
directly,244,0.023262443262042843
supra,244,0.023262443262042843
find,244,0.023262443262042843
welfare,244,0.023262443262042843
put,243,0.023167105379821355
bureau,243,0.023167105379821355
banking,243,0.023167105379821355
pla,243,0.023167105379821355
line,242,0.02307176749759987
training,241,0.022976429615378383
never,240,0.022881091733156896
reliance,240,0.022881091733156896
establish,240,0.022881091733156896
relief,239,0.022785753850935408
though,238,0.02269041596871392
herein,237,0.022595078086492432
sought,237,0.022595078086492432
many,237,0.022595078086492432
article,237,0.022595078086492432
value,237,0.022595078086492432
contrary,237,0.022595078086492432
si,237,0.022595078086492432
ptc,237,0.022595078086492432
ion,235,0.02240440232204946
university,235,0.02240440232204946
yet,234,0.022309064439827973
loss,234,0.022309064439827973
submission,234,0.022309064439827973
lac,234,0.022309064439827973
expw,234,0.022309064439827973
iv,233,0.022213726557606485
trust,233,0.022213726557606485
guilt,233,0.022213726557606485
river,233,0.022213726557606485
plaint,232,0.022118388675385
limitation,232,0.022118388675385
plea,232,0.022118388675385
memo,232,0.022118388675385
obtained,232,0.022118388675385
-ud-din,232,0.022118388675385
unlawful,232,0.022118388675385
consequent,230,0.021927712910942025
doctor,230,0.021927712910942025
late,229,0.021832375028720537
word,229,0.021832375028720537
afzal,229,0.021832375028720537
guardian,229,0.021832375028720537
termination,229,0.021832375028720537
ghanche,228,0.02173703714649905
situated,227,0.021641699264277562
security,227,0.021641699264277562
contend,227,0.021641699264277562
treatment,226,0.021546361382056074
nominated,225,0.02145102349983459
paper,224,0.021355685617613102
basic,224,0.021355685617613102
proceed,224,0.021355685617613102
cognizance,223,0.021260347735391615
union,223,0.021260347735391615
nothing,222,0.021165009853170127
se,221,0.021069671970948643
become,221,0.021069671970948643
towards,221,0.021069671970948643
quran,221,0.021069671970948643
discussed,220,0.020974334088727155
similar,220,0.020974334088727155
four,219,0.020878996206505667
qualification,218,0.02078365832428418
kiu,218,0.02078365832428418
named,217,0.02068832044206269
transferred,217,0.02068832044206269
apply,216,0.020592982559841204
confession,216,0.020592982559841204
practice,216,0.020592982559841204
superintendent,216,0.020592982559841204
permission,216,0.020592982559841204
extra,216,0.020592982559841204
brief,215,0.020497644677619716
joint,215,0.020497644677619716
maintaining,215,0.020497644677619716
electricity,215,0.020497644677619716
knowledge,214,0.020402306795398232
fully,214,0.020402306795398232
object,214,0.020402306795398232
grievance,214,0.020402306795398232
thousand,214,0.020402306795398232
comment,214,0.020402306795398232
mere,213,0.020306968913176744
sheet,213,0.020306968913176744
interim,213,0.020306968913176744
nt,213,0.020306968913176744
handed,213,0.020306968913176744
obligation,213,0.020306968913176744
karim,212,0.020211631030955256
explanation,211,0.020116293148733772
lodged,211,0.020116293148733772
acquittal,210,0.020020955266512284
denied,210,0.020020955266512284
subordinate,209,0.019925617384290797
reveals,209,0.019925617384290797
ordinary,209,0.019925617384290797
pension,209,0.019925617384290797
political,209,0.019925617384290797
reached,208,0.01983027950206931
mention,208,0.01983027950206931
maintain,208,0.01983027950206931
released,208,0.01983027950206931
bashir,208,0.01983027950206931
formality,208,0.01983027950206931
working,207,0.01973494161984782
noor,207,0.01973494161984782
diyat,207,0.01973494161984782
examine,206,0.019639603737626334
representation,206,0.019639603737626334
particular,205,0.019544265855404846
iftikhar,205,0.019544265855404846
important,204,0.01944892797318336
tender,204,0.01944892797318336
essential,203,0.019353590090961874
nadeem,203,0.019353590090961874
wife,203,0.019353590090961874
student,203,0.019353590090961874
supplied,202,0.019258252208740386
default,201,0.0191629143265189
notwithstanding,201,0.0191629143265189
note,200,0.019067576444297414
followed,200,0.019067576444297414
addition,200,0.019067576444297414
shot,200,0.019067576444297414
bound,200,0.019067576444297414
p.p.c,200,0.019067576444297414
shigar,200,0.019067576444297414
aspect,199,0.018972238562075926
seen,199,0.018972238562075926
-ur-rehman,199,0.018972238562075926
technical,199,0.018972238562075926
ten,199,0.018972238562075926
spirit,198,0.01887690067985444
region,198,0.01887690067985444
international,197,0.01878156279763295
change,197,0.01878156279763295
proof,196,0.018686224915411463
remaining,196,0.018686224915411463
adoptive,196,0.018686224915411463
responsibility,195,0.018590887033189975
initiated,195,0.018590887033189975
library,195,0.018590887033189975
section,194,0.018495549150968488
fresh,194,0.018495549150968488
recruitment,194,0.018495549150968488
raja,193,0.018400211268747003
applied,193,0.018400211268747003
explained,193,0.018400211268747003
shop,193,0.018400211268747003
approach,193,0.018400211268747003
opened,192,0.018304873386525516
